 time            i(Vmeas)        v(Vout)        
 4.18182419e-07  1.00000000e-05 -7.08710606e-03 
 4.19182419e-07  1.00000000e-05  7.04313048e-03 
 4.20182419e-07  1.00000000e-05 -6.94673992e-03 
 4.21182419e-07  1.00000000e-05  6.90311374e-03 
 4.22182419e-07  1.00000000e-05 -6.80930791e-03 
 4.23182419e-07  1.00000000e-05  6.76605744e-03 
 4.23307419e-07  1.00000000e-05  1.51950104e-04 
 4.23557419e-07  1.00000000e-05 -1.43952134e-04 
 4.23847933e-07  1.00000000e-05  1.46626756e-04 
 4.24120896e-07  1.00000000e-05 -1.14256877e-04 
 4.24461820e-07  1.00000000e-05  1.33483634e-04 
 4.24919686e-07  1.00000000e-05 -1.17723691e-04 
 4.25493277e-07  1.00000000e-05 -1.62151049e-05 
 4.26098250e-07  1.00000000e-05  1.66924094e+00 
 4.26523562e-07  1.00000000e-05  1.85712970e+00 
 4.26922987e-07  1.00000000e-05  1.74603943e+00 
 4.27370319e-07  1.00000000e-05  1.84105253e+00 
 4.27844614e-07  1.00000000e-05  1.76150813e+00 
 4.28515042e-07  1.00000000e-05  1.83207995e+00 
 4.29023112e-07  1.00000000e-05  1.77056330e+00 
 4.29546032e-07  1.00000000e-05  3.56410653e-02 
 4.29813953e-07  1.00000000e-05 -1.89111636e-02 
 4.30013529e-07  1.00000000e-05  1.70660733e-02 
 4.30176702e-07  1.00000000e-05 -1.38774470e-02 
 4.30368349e-07  1.00000000e-05  1.29861618e-02 
 4.30554119e-07  1.00000000e-05 -1.19164336e-02 
 4.30925660e-07  1.00000000e-05  1.16549469e-02 
 4.31292945e-07  1.00000000e-05 -1.12038295e-02 
 4.32027517e-07  1.00000000e-05  1.11226185e-02 
 4.33027517e-07  1.00000000e-05 -1.09213389e-02 
 4.34027517e-07  1.00000000e-05  1.08813879e-02 
 4.35027517e-07  1.00000000e-05 -1.06919171e-02 
 4.36027517e-07  1.00000000e-05  1.06498814e-02 
 4.37027517e-07  1.00000000e-05 -1.04702589e-02 
 4.38027517e-07  1.00000000e-05  1.04267077e-02 
 4.39027517e-07  1.00000000e-05 -1.02554480e-02 
 4.40027517e-07  1.00000000e-05  1.02107918e-02 
 4.41027517e-07  1.00000000e-05 -1.00467580e-02 
 4.42027517e-07  1.00000000e-05  1.00013038e-02 
 4.43027517e-07  1.00000000e-05 -9.84361981e-03 
 4.44027517e-07  1.00000000e-05  9.79759933e-03 
 4.45027517e-07  1.00000000e-05 -9.64558360e-03 
 4.46027517e-07  1.00000000e-05  9.59917392e-03 
 4.47027517e-07  1.00000000e-05 -9.45229130e-03 
 4.48027517e-07  1.00000000e-05  9.40563135e-03 
 4.49027517e-07  1.00000000e-05 -9.26351042e-03 
 4.50027517e-07  1.00000000e-05  9.20977585e-03 
 4.50873078e-07  1.00000000e-05 -9.03309249e-03 
 4.51569535e-07  1.00000000e-05  6.33613232e-02 
 4.52146056e-07  1.00000000e-05  1.71334702e+00 
 4.52699022e-07  1.00000000e-05  1.87067316e+00 
 4.53264998e-07  1.00000000e-05  1.72999665e+00 
 4.53916949e-07  1.00000000e-05  1.85952664e+00 
 4.54469279e-07  1.00000000e-05  1.74232496e+00 
 4.54946019e-07  1.00000000e-05  5.42370556e-02 
